Name,State,Abbreviation,Location,Funding,Founded
Adekunle Ajasin University ,Ondo ,AAUA ,Akungba-Akoko ,State ,1999 
"Federal University of Agriculture, Abeokuta ",Ogun ,FUNAAB ,Abeokuta ,State ,1988 
Obafemi Awolowo University ,Osun ,OAU ,Ile Ife ,Federal ,1961 
Abia State University,Abia,ABSU,Uturu,State,1981 
Adekunle Ajasin University ,Ondo ,AAUA ,Akungba-Akoko ,State ,1999 
Joseph Ayo Babalola University,Osun,JABU,Ikeji-Arakeji,Private,2006 
Redeemer's University Nigeria,Osun,RUN,Ede,Private,2005 
Afe Babalola University,Ekiti,ABUAD,Ado-Ekiti,Private,2009 
Akwa Ibom State University (formerly Akwa Ibom State University of Science and Technology),Akwa Ibom,AKSU,Uyo,State,2010 
Bakassi Technical University,Akwa Ibom,BTU,Uyo,Private,2000 
American University of Nigeria,Adamawa,AUN,Yola,Private,2005 
Abubakar Tafawa Balewa University,Bauchi,ATBU,Bauchi,Federal,1980 
Adamawa State University,Adamawa,ADSU,Mubi,State,2002 
Achievers University,Ondo,AC,Owo,Private,2007 
Ahmadu Bello University,Kaduna,ABU,Zaria,Federal,1962 
Al-Hikmah University,Kwara,AHU,Ilorin,Private,2005 
Ambrose Alli University,Edo,AAU,Ekpoma,State,1981 
Anambra State University formerly Anambra State University Of Science And Technology,Anambra,ANSU,Uli,State,2000 
Ajayi Crowther University,Oyo,ACU,Oyo,Private,2005 (1) 
Bayero University,Kano,BUK,Kano,Federal,1977 
Babcock University,Ogun,BU,Ilishan-Remo,Private,1959 
Bells University of Technology,Ogun,BUT,Ota,Private,2004 
Benson Idahosa University,Edo,BIU,Benin City,Private,2002 
Benue State University,Benue,BSU,Makurdi,State,1992 
ECWA Bingham University,Nassarawa,BU,New Karu,Private,2005 
Bowen University,Osun,BU,Iwo,Private,2002 
Bukar Abba Ibrahim University,Yobe,YSU,Damaturu,State,2006 
CETEP City University,Lagos,CU,Lagos,Private,2005 
Caleb University,Lagos,CUl,Ikorodu,Private,2008 
Caritas University,Enugu,CU,Enugu,Private,2004 
City University,Lagos,CU,Yaba,Private, 
National Open University of Nigeria,Lagos,NOUN,Victoria Island,Federal,1983 
City University of Technology,Kaduna,CUT,Kaduna,Private,1956 
Covenant University,Ogun,CU,Ota,Private,2002 
Crawford University,Ogun,CU,"Faith City, Igbesa",Private,2005 
Crawford University,Ekiti,CU,Oye-Ekiti Campus,Private,2005 
Crescent University,Ogun,CU,Abeokuta,Private,2005 
Cross River University of Technology,Cross River,CRUTECH,"Ekpo-Abasi, Calabar",State,2002 
"Delta State University, Abraka",Delta,DELSU,Abraka,State,1992 
Ebonyi State University,Ebonyi,EBSU,Abakaliki,State,1996 
"Evangel University, Akaeze ",Ebonyi ,EUA ,Akaeze ,Private ,2012 
Elizade University,Ondo,,Ilara-Mokin,Private,2012 
"Fountain University, Osogbo",Osun,FUO,Osun,Private,2007 
Federal University Oye-Ekiti,Ekiti,FUOYE,Oye-Ekiti,Federal,2011 
"Federal University, Dutsin-Ma",Katsina,FUDM,Katsina,Federal,2011 
Federal University of Technology Akure,Ondo,FUTA,Akura,Federal,1981 
"Federal University Ndufe Alike, Ikwo",Ikwo,FUNAI,Ikwo,Federal,2011 
Gregory University,Abia,,Uturu,Private,2012 
Godfrey Okoye University,Enugu,GOU,Enugu,Private,2009 
Igbinedion University,Edo,IUO,Okada,Private,1999 
Koladaisi University,Oyo,KU,"Ibadan, Oyo",State,2015 
Oduduwa University,Osun,OUI,"Ipetumodu, Ile-Ife",State,2009 
Landmark University,Kwara,LU,Omu-Aran,Private,2011 
Michael and Cecilia Ibru University,Delta,MCIU,"Agbara-Otor, Ughelli North",Private,2015 
Lagos State University,Lagos,LASU,Ojo,State,1983 
Nasarawa State University ,Nasarawa ,NSUK ,Keffi ,State ,2001 
Nigerian Turkish Nile University,FCT,NTNU,Abuja,Private,1998 
Plateau State University Bokkos ,Plateau ,PLASU ,Bokkos ,State ,2005 
Skyline University Nigeria,Kano,SUN,Kano,Private,2018 
Taraba State University,Taraba,,Jalingo,State,2011 
University of Benin,Edo,UNIBEN,Benin City,Federal,1970 
University of Calabar,Cross River,UNICAL,Calabar,Federal,1975 
University of Ibadan ,Oyo ,UI ,Ibadan ,Federal ,1948 
University of Jos ,Plateau ,UJ ,Jos ,Federal ,1971 
Umaru Musa Yar'adua University Katsina,Katsina,UMYU,Katsina,State,2006 
University of Lagos,Lagos,UNILAG,Lagos,Federal,1962 
University of Port Harcourt,Rivers,UNIPORT,Port Harcourt,Federal,1975 
"University of Nigeria, Nsukka",Enugu,UNN,Nsukka,Federal,1955 
Veritas University (Catholic University of Nigeria) Abuja,Abuja,VUNA,Bwari,Private,2007 
,,,,,
 Algeria Angola Benin Botswana Burkina Faso Burundi Cameroon Cape Verde (Cabo Verde) Central African Republic Chad Comoros Democratic Republic of the Congo Republic of the Congo Djibouti Egypt Equatorial Guinea Eritrea Eswatini (Swaziland) Ethiopia Gabon The Gambia Ghana Guinea Guinea-Bissau Ivory Coast (Côte d'Ivoire) Kenya Lesotho Liberia Libya Madagascar Malawi Mali Mauritania Mauritius Morocco Mozambique Namibia Niger Nigeria Rwanda São Tomé and Príncipe Senegal Seychelles Sierra Leone Somalia South Africa South Sudan Sudan Tanzania Togo Tunisia Uganda Zambia Zimbabwe ,,,,,
 Sahrawi Arab Democratic Republic Somaliland ,,,,,
 Canary Islands / Ceuta / Melilla  (Spain) Madeira (Portugal) Mayotte / Réunion (France) Saint Helena / Ascension Island / Tristan da Cunha (United Kingdom) ,,,,,
,,,,,
 Achievers University Afe Babalola University Ajayi Crowther University Al-Hikmah University American University of Nigeria Arthur Javis University Augustine University Ilara Babcock University Baze University Bells University of Technology Benson Idahosa University ECWA Bingham University Bowen University Bukar Abba Ibrahim University Caleb University Caritas University CETEP City University Chrisland University Christopher University Coal City University Covenant University Crawford University Crescent University Elizade University Fountain University Gregory University Godfrey Okoye University Hezekiah University Kwararafa University Landmark University Lead City University Madonna University McPherson University University of Mkar Igbinedion University Joseph Ayo Babalola University Mountain Top University Niger Delta University Nile University of Nigeria Novena University Obong University Oduduwa University Pan-Atlantic University Paul University Renaissance University Redeemer's University Rhema University Ritman University Salem University Samuel Adegboyega University Tansian University Veritas University Wellspring University Wesley University Western Delta University ,,,,,
" Adamawa State University Adekunle Ajasin University Abia State University Abubakar Tafawa Balewa University Bayero University Akwa Ibom State University of Science and Technology Ambrose Alli University Anambra State University Bauchi State University Benue State University Cross River University of Technology Delta State University Ebonyi State University Edo University, Iyamho Enugu State University of Science and Technology Gombe State University Imo State University Kaduna State University Kano State University of Technology Kogi State University Kwara State University Ladoke Akintola University of Technology Lagos State University Nasarawa State University Olabisi Onabanjo University Ondo State University of Science and Technology Osun State University Plateau State University Rivers State University of Science and Technology Sokoto State University Sule Lamido University Taraba State University Umaru Musa Yar'adua University Usman Dan Fodio University Tai Solarin University of Education Yobe State University ",,,,,
" Ahmadu Bello University Federal University Dutse Federal University Gusau Federal University of Technology Akure Federal University of Technology Minna Federal University of Technology Owerri Federal University of Technology Yola Federal University, Otuoke Federal University Oye Ekiti National Open University of Nigeria Nigerian Defence Academy Nnamdi Azikiwe University Obafemi Awolowo University University of Abuja University of Agriculture, Abeokuta University of Agriculture, Makurdi University of Ado Ekiti University of Benin University of Calabar University of Ibadan University of Ilorin University of Jos University of Lagos University of Maiduguri University of Nigeria, Nsukka University of Port Harcourt University of Uyo Michael Okpara Federal University of Agriculture ",,,,,
